G,Date,Start (ET),Venue,Opponent,Result,Tm,Opp,W,L,Streak,Attend.,LOG,Season,Team
58,2025-02-25,7:30p,Away,Orlando Magic,W,122,82,48,10,W 8,18846,2:07,2024,CLE
59,2025-02-28,7:30p,Away,Boston Celtics,W,123,116,49,10,W 9,19156,2:15,2024,CLE
60,2025-03-02,3:30p,Home,Portland Trail Blazers,W,133,129,50,10,W 10,19432,2:51,2024,CLE
61,2025-03-04,8:00p,Away,Chicago Bulls,W,139,117,51,10,W 11,20943,2:21,2024,CLE
62,2025-03-05,7:00p,Home,Miami Heat,W,112,107,52,10,W 12,19432,2:19,2024,CLE
63,2025-03-07,7:00p,Away,Charlotte Hornets,W,118,117,53,10,W 13,19296,2:34,2024,CLE
64,2025-03-09,8:00p,Away,Milwaukee Bucks,W,112,100,54,10,W 14,17355,2:12,2024,CLE
65,2025-03-11,7:00p,Home,Brooklyn Nets,W,109,104,55,10,W 15,19432,2:13,2024,CLE
66,2025-03-14,8:00p,Away,Memphis Grizzlies,W,133,124,56,10,W 16,17051,2:19,2024,CLE
67,2025-03-16,1:00p,Home,Orlando Magic,L,103,108,56,11,L 1,19432,2:22,2024,CLE
68,2025-03-18,10:30p,Away,Los Angeles Clippers,L,119,132,56,12,L 2,17927,2:22,2024,CLE
69,2025-03-19,10:00p,Away,Sacramento Kings,L,119,123,56,13,L 3,15919,2:10,2024,CLE
70,2025-03-21,10:00p,Away,Phoenix Suns,L,112,123,56,14,L 4,17071,1:57,2024,CLE
71,2025-03-23,3:30p,Away,Utah Jazz,W,120,91,57,14,W 1,18175,2:12,2024,CLE
72,2025-03-25,10:00p,Away,Portland Trail Blazers,W,122,111,58,14,W 2,19335,2:05,2024,CLE
73,2025-03-27,7:00p,Home,San Antonio Spurs,W,124,116,59,14,W 3,19432,2:18,2024,CLE
74,2025-03-28,7:00p,Away,Detroit Pistons,L,122,133,59,15,L 1,20062,2:29,2024,CLE
75,2025-03-30,3:30p,Home,Los Angeles Clippers,W,127,122,60,15,W 1,19432,2:14,2024,CLE
76,2025-04-02,7:00p,Home,New York Knicks,W,124,105,61,15,W 2,19432,2:10,2024,CLE
77,2025-04-04,8:00p,Away,San Antonio Spurs,W,114,113,62,15,W 3,17819,2:04,2024,CLE
78,2025-04-06,6:00p,Home,Sacramento Kings,L,113,120,62,16,L 1,19432,2:16,2024,CLE
79,2025-04-08,7:00p,Home,Chicago Bulls,W,135,113,63,16,W 1,19432,2:01,2024,CLE
80,2025-04-10,7:00p,Away,Indiana Pacers,L,112,114,63,17,L 1,17020,2:21,2024,CLE
81,2025-04-11,7:30p,Away,New York Knicks,W,108,102,64,17,W 1,19812,2:18,2024,CLE
82,2025-04-13,1:00p,Home,Indiana Pacers,L,118,126,64,18,L 1,19432,2:48,2024,CLE
1,2024-10-22,7:30p,Home,New York Knicks,W,132,109,1,0,W 1,19156,2:04,2024,BOS
2,2024-10-24,7:00p,Away,Washington Wizards,W,122,102,2,0,W 2,18610,2:11,2024,BOS
3,2024-10-26,7:00p,Away,Detroit Pistons,W,124,118,3,0,W 3,19311,2:18,2024,BOS
4,2024-10-28,7:30p,Home,Milwaukee Bucks,W,119,108,4,0,W 4,19156,2:18,2024,BOS
5,2024-10-30,7:00p,Away,Indiana Pacers,L,132,135,4,1,L 1,17274,2:37,2024,BOS
6,2024-11-01,7:00p,Away,Charlotte Hornets,W,124,109,5,1,W 1,18557,2:17,2024,BOS
7,2024-11-02,6:00p,Away,Charlotte Hornets,W,113,103,6,1,W 2,19253,2:09,2024,BOS
8,2024-11-04,7:45p,Away,Atlanta Hawks,W,123,93,7,1,W 3,15031,1:56,2024,BOS
9,2024-11-06,7:30p,Home,Golden State Warriors,L,112,118,7,2,L 1,19156,2:21,2024,BOS
10,2024-11-08,7:30p,Home,Brooklyn Nets,W,108,104,8,2,W 1,19156,2:26,2024,BOS
11,2024-11-10,3:30p,Away,Milwaukee Bucks,W,113,107,9,2,W 2,17341,2:16,2024,BOS
12,2024-11-12,7:00p,Home,Atlanta Hawks,L,116,117,9,3,L 1,19156,2:13,2024,BOS
13,2024-11-13,7:30p,Away,Brooklyn Nets,W,139,114,10,3,W 1,18112,2:10,2024,BOS
14,2024-11-16,8:00p,Home,Toronto Raptors,W,126,123,11,3,W 2,19156,2:27,2024,BOS
15,2024-11-19,7:00p,Home,Cleveland Cavaliers,W,120,117,12,3,W 3,19156,2:16,2024,BOS
16,2024-11-22,7:00p,Away,Washington Wizards,W,108,96,13,3,W 4,20385,2:24,2024,BOS
17,2024-11-24,3:30p,Home,Minnesota Timberwolves,W,107,105,14,3,W 5,19156,2:03,2024,BOS
18,2024-11-25,7:30p,Home,Los Angeles Clippers,W,126,94,15,3,W 6,19156,1:58,2024,BOS
19,2024-11-29,8:00p,Away,Chicago Bulls,W,138,129,16,3,W 7,19798,2:08,2024,BOS
20,2024-12-01,6:00p,Away,Cleveland Cavaliers,L,111,115,16,4,L 1,19432,2:16,2024,BOS
21,2024-12-02,7:30p,Home,Miami Heat,W,108,89,17,4,W 1,19156,2:02,2024,BOS
